wvln_2,270.00,mean_abs_m,DOC_T0_par_vial,SUVA_270nm,SUVA_270_added
A0_2114_ag,0.62,0.63,57.32,0.01,
B0_2114_ag,0.64,,,,
C0_2114_ag,0.86,0.92,75.55,0.01,0.001
D0_2114_ag,0.98,,,,
E0_2114_ag,1.63,1.62,66.43,0.02,0.013
F0_2114_ag,1.60,,,,
G0_2114_ag,0.82,0.75,73.94,0.01,
H0_2114_ag,0.69,,,,
I0_2114_ag,0.95,1.01,99.27,0.01,0.000
J0_2114_ag,1.06,,,,
K0_2114_ag,1.49,1.47,87.88,0.02,0.007
L0_2114_ag,1.46,,,,
A0_2213_ag,0.68,0.69,58.62,0.01,
B0_2213_ag,0.70,,,,
C0_2213_ag,1.42,1.37,61.53,0.02,0.010
D0_2213_ag,1.31,,,,
E0_2213_ag,1.77,1.75,64.91,0.03,0.015
F0_2213_ag,1.72,,,,
G0_2213_ag,0.79,0.77,72.40,0.01,
H0_2213_ag,0.75,,,,
I0_2213_ag,1.39,1.35,76.84,0.02,0.007
J0_2213_ag,1.31,,,,
K0_2213_ag,1.68,1.69,77.30,0.02,0.011
L0_2213_ag,1.69,,,,